Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,QGE613,QGE614,QGE615,QGE637,QGE638,QGE639,QGE661,QGE662,QGE663,QGE742,QGE743,QGE744,QGE760,QGE761,QGE762,QGE685,QGE686,QGE687,QGE621,QGE622,QGE623,QGE645,QGE646,QGE647,QGE669,QGE670,QGE671,QGE748,QGE749,QGE750,QGE766,QGE767,QGE768,QGE693,QGE694,QGE695
282.0449722,0,0,0,0,0,0,0,0,,None,283.0522487,0,1,8482938,10618840,9728185,7578170.5,9438489,9932128,0,7603375,9547697,7658042,0,7367365.5,6900808,8696059,6909125,0,0,0,0,7060874.5,0,8820619,8429115,7617963.5,8662157,8279030,9780187,8772406,7449267,0,10152456,9476109,8215788.5,8703246,9136962,8154773.5
282.051947,14,9,4,3,0,0,0,0,CHON,ConHC,283.0592235,0.290882133,1,40097912,38688724,42389684,32330296,34850072,41344348,31764826,36267176,32661418,41900588,44709828,45961912,39255096,47715564,48979124,34231944,37895968,34346736,26016224,32716166,29304956,31156104,26842678,34953640,29230212,25205742,30342098,36455208,38242980,37033708,35373560,36505596,39972060,35601672,37516092,43703948
282.0532921,0,0,0,0,0,0,0,0,,None,283.0605686,0,1,0,0,0,0,0,0,0,0,0,7043624.5,8460224,7212723,0,0,0,9526918,7517983.5,7786223,6906336,0,7621754.5,0,0,0,0,0,0,6773540,6783646.5,7482090,7090676,0,7406808.5,0,6378297,0
282.0619945,12,13,7,1,0,0,0,0,CHON,Lignin,283.0692709,-0.244327143,1,111097968,100431824,98275504,108401200,115246352,85638488,72954192,78234784,96395168,100342296,81270704,85152416,101702696,100521176,101227680,66107004,84246288,85268200,72624600,97154432,46819448,97159040,84284976,80542112,88589432,95726560,104430536,101540624,86092424,94336728,96461280,94808040,95767752,85998840,87454512,94240384
282.0701274,0,0,0,0,0,0,0,0,,None,283.0774038,0,0,34601072,22611916,21311660,36213296,33916176,20565332,23859526,18461844,30678934,27978244,22390684,21762702,27241492,25236676,25246862,18249332,22007558,23918300,20793814,29922684,13244531,24467324,29357608,19736992,21005424,24710104,24685502,35504896,21715574,27809478,25453002,24774614,25083056,22015216,22672166,22843002
282.0732109,11,13,6,3,0,0,0,0,CHON,Lignin,283.0804874,-0.184399446,1,38131820,41129928,39989420,40596012,46195984,38518100,31314244,31982736,37068692,28359166,31471508,26374790,29137934,26117310,27237512,19674736,22216450,23074520,39758292,42931580,31123570,33933180,32757286,34355616,36873324,34245588,34675644,36242168,33688176,37213888,29536708,29312976,25869482,27196654,26432290,26971766
282.0771061,16,13,4,1,0,0,0,0,CHON,Lignin,283.0843825,0.26630032,1,34478188,33175496,35688616,32530988,35726608,37936464,38113600,35906700,35807120,42056180,49321868,47280768,43015176,41743540,45317248,47806060,43540220,47494868,34851280,33789304,36677744,32364408,30643746,34437532,34985064,29604816,33602484,41575152,41994852,41694904,36393400,37398472,37711008,38935784,39457568,41082480
282.0811852,0,0,0,0,0,0,0,0,,None,283.0884617,0,1,10137706,9437126,8974502,11786793,10329359,8215886.5,8155451,8644744,10260361,8972780,8566659,7768693,9935870,9024684,9194614,7446119,8464117,8728271,8827343,10040695,6875246,9369462,9408031,8853915,10423395,9739210,10251185,10648295,7901787,9936558,9402800,9374654,7795863,8174820,8518425,9444973
282.0885221,0,0,0,0,0,0,0,0,,None,283.0957985,0,0,8544358,8964034,9787554,7127077.5,8007948.5,8985931,8945971,9659520,8601473,10473949,15409011,14266981,10052590,9741468,9725030,11867743,11491050,13393606,10176971,7510386.5,11731051,7452529.5,7902745,9765271,7764058.5,6413249.5,7474088.5,10347223,10756681,11933342,7678366,9846702,9643142,9779419,9349905,10491492
282.0983604,13,17,6,1,0,0,0,0,CHON,Lignin,283.1056369,-0.175292728,1,41867360,32151484,30773406,47165984,45557000,32263494,36155688,34473076,44212088,39721416,40916828,36090448,43965404,37311624,43637840,45037140,43974364,46126780,37153220,39073132,27514982,34883436,35477008,30574994,34927696,34999220,36600732,46031552,34630192,42735240,34529668,35334040,32283758,35380432,38572808,36830808
